題型,題目敘述,配分(測驗題目小題請填入分數),"正解(填入數字,設定第幾個選項為正解)",選項(不限數量),,,
4,課程介紹,,,,,,
a,本課程的學習重點最符合下列哪一項？,10,2,A.只記住各器官的中文名稱,B.能說明人體如何運作與為什麼,C.只完成線上小考即可,D.只練習實驗操作不需要理解機轉
a,第二階段的內容與對應考試哪一組正確？,10,2,A.心臟血液血管淋巴；小期中考,B.呼吸泌尿體液；期中考,C.消化系統與營養素消化吸收；期末考,D.內分泌生殖；小期末考
a,每次上課應攜帶的課本為何？,10,3,A.只帶新編生理學,B.只帶新編解剖學,C.新編生理學與新編解剖學兩本,D.任何一本護理學課本即可
a,手機未使用時符合課堂規範的放置方式是？,10,3,A.放入書包並關機,B.拿在手上以便回覆訊息,C.放在桌上顯眼處螢幕向下鏡頭向上,D.任意放置只要沒有聲音即可
a,四次考試與平時成績在學期總成績中的合計比例為何？,10,3,A.四次考試40%平時成績60%,B.四次考試50%平時成績50%,C.四次考試60%平時成績40%,D.四次考試70%平時成績30%
a,下列何者正確描述數位學習網線上小考？,10,1,A.Q1至Q8共8次每次25題開放期間可重複作答並採最高分,B.Q1至Q8共8次每次10題只能作答一次,C.只在期末前進行一次不列入平時成績,D.每次固定題目不從題庫隨機抽題
a,下列哪一種情況同時符合學期不予及格的兩項條件？,10,1,A.四次考試平均39分PR值32,B.四次考試平均40分PR值32,C.四次考試平均39分PR值33,D.四次考試平均41分PR值30
a,符合免參訪規定者平時成績會如何調整？,10,2,A.大體參訪心得5%改列為缺考,B.心得報告的5%轉入線上小考線上小考占15%,C.課堂表現與出席由5%改為10%,D.四次考試從60%改為55%
a,更新後大體參訪第一梯次的正確安排是？,10,1,A.12月04日星期五下午場,B.12月04日星期五上午場,C.12月05日星期六下午場,D.11月20日星期五下午場
a,所有線上小考的截止時間正確的是？,10,2,A.截止日當天上午8點,B.截止日當天中午12點,C.截止日當天晚上12點,D.每次由學生自行設定
